Area,Total,Firearm,"Knife or
other cutting
instrument",Bomb,"Blunt
instrument","Personal
weapons",Vehicle,Other
Number of victim officers,1692.0,143.0,24.0,23.0,219.0,659.0,156.0,468.0
NORTHEAST,41.0,10.0,0.0,0.0,1.0,19.0,2.0,9.0
New England,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle Atlantic,40.0,10.0,0.0,0.0,1.0,19.0,1.0,9.0
New Jersey,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
New York,24.0,2.0,0.0,0.0,1.0,15.0,0.0,6.0
Pennsylvania,12.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0
MIDWEST,324.0,51.0,7.0,0.0,5.0,46.0,7.0,208.0
East North Central,49.0,13.0,0.0,0.0,3.0,23.0,0.0,10.0
Illinois,12.0,1.0,0.0,0.0,2.0,3.0,0.0,6.0
Indiana,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Michigan,11.0,5.0,0.0,0.0,1.0,2.0,0.0,3.0
Ohio,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,19.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0
West North Central,275.0,38.0,7.0,0.0,2.0,23.0,7.0,198.0
Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas,10.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0
Minnesota,21.0,2.0,5.0,0.0,1.0,4.0,2.0,7.0
Missouri,39.0,35.0,0.0,0.0,1.0,1.0,0.0,2.0
Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Dakota,70.0,0.0,1.0,0.0,0.0,3.0,0.0,66.0
South Dakota,135.0,1.0,1.0,0.0,0.0,8.0,3.0,122.0
SOUTH,184.0,32.0,3.0,0.0,2.0,89.0,16.0,42.0
South Atlantic,89.0,7.0,1.0,0.0,1.0,47.0,5.0,28.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,22.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0
Florida,28.0,2.0,0.0,0.0,0.0,22.0,0.0,4.0
Georgia,12.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0
Maryland,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
North Carolina,15.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0
South Carolina,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Virginia,7.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0
West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East South Central,26.0,5.0,0.0,0.0,0.0,12.0,6.0,3.0
Alabama,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
Kentucky,12.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0
Mississippi,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,6.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
West South Central,69.0,20.0,2.0,0.0,1.0,30.0,5.0,11.0
Arkansas,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
Louisiana,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
Oklahoma,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Texas,59.0,17.0,2.0,0.0,1.0,25.0,3.0,11.0
