state,count,id
AK,5.0,1
AL,5.0,2
AR,4.0,3
AZ,97.0,4
CA,37.0,5
CO,24.0,6
CT,0.0,7
DE,0.0,8
FL,28.0,9
GA,12.0,10
HI,15.0,11
IA,0.0,12
ID,287.0,13
IL,12.0,14
IN,2.0,15
KS,10.0,16
KY,12.0,17
LA,4.0,18
MA,1.0,19
MD,4.0,20
ME,0.0,21
MI,11.0,22
MN,21.0,23
MO,39.0,24
MS,3.0,25
MT,23.0,26
NC,15.0,27
ND,70.0,28
NE,0.0,29
NH,0.0,30
NJ,4.0,31
NM,58.0,32
NV,28.0,33
NY,24.0,34
OH,5.0,35
OK,2.0,36
OR,401.0,37
PA,12.0,38
RI,0.0,39
SC,1.0,40
SD,135.0,41
TN,6.0,42
TX,59.0,43
UT,0.0,44
VA,7.0,45
VT,0.0,46
WA,90.0,47
WI,19.0,48
WV,0.0,49
WY,6.0,50
